,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
527,Now Next Dance Summer 2014,dance,dance,12/07/2014,17/06/2014,successful,5141,5000,25,2014,Q2,0.0282
195,NOW Practices,dance,dance,03/12/2013,23/11/2013,failed,820,1200,10,2013,Q1,NA
1903,"Now that I have your ear, I'll keep you close to me.",dance,dance,26/06/2011,27/05/2011,successful,2585,2500,30,2011,Q2,0.034
1083,"Nuevo Laredo, a new dance theater work by Gabriella Barnstone/El Gato Teatro",dance,dance,18/11/2010,19/10/2010,successful,10590.95,10000,30,2010,Q2,0.059095
2517,Number 3. The Darker Side of Rogue Co.,performances,dance,01/02/2015,02/01/2015,successful,5842,5000,30,2015,Q2,0.1684
942,Number Zero (a space opera) - We need you!,performances,dance,22/06/2014,31/05/2014,failed,605,2400,22,2014,Q2,NA
1932,NunaMaana Immersive Dance Theater's Spring Show,performances,dance,15/04/2015,14/03/2015,successful,6716,4500,32,2015,Q3,0.492444444
569,Nutcracker Dreams for All Abilities,dance,dance,21/12/2011,24/11/2011,successful,3100,3000,27,2011,Q2,0.033333333
1696,Nutcracker in the Nutshell,performances,dance,22/12/2014,23/10/2014,successful,5176,5000,60,2014,Q4,0.0352
3633,Nutcracker Party Scene Costumes,dance,dance,27/10/2013,27/09/2013,successful,4050,4000,30,2013,Q2,0.0125
923,NWAAC PresentsThe Nutcracker,dance,dance,15/11/2013,16/10/2013,failed,420,6000,30,2013,Q2,NA
837,NYC Ballroom Dance Couple Performs at Festival in England,dance,dance,26/05/2013,26/04/2013,successful,7960,7850,30,2013,Q2,0.014012739
1952,NYC Dance Arts Professional Dance Company Touring Fund,performances,dance,24/07/2015,08/07/2015,failed,20,2000,16,2015,Q2,NA
2880,NYC Dance Parade,dance,dance,21/05/2012,19/04/2012,failed,125,2300,32,2012,Q3,NA
338,NYCB's Ashley Bouder's Dance Festival,dance,dance,04/05/2012,04/04/2012,failed,667,2500,30,2012,Q2,NA
2561,NYU Tisch High School Summer,dance,dance,19/03/2017,04/03/2017,canceled,5,3000,15,2017,Q1,NA
850,O2 The Dance Company presents: ANSWERS,dance,dance,06/11/2013,08/10/2013,successful,6398.85,4782.4,29,2013,Q2,0.337999749
1688,O2 The Dance Company presents: Between the Branches,dance,dance,01/04/2015,27/02/2015,successful,11926.61,11863.33,33,2015,Q3,0.005334084
1715,Oak Cliff Dance,spaces,dance,17/05/2016,27/04/2016,successful,3000,3000,20,2016,Q2,0
3971,Oak Cliff Flamenco Festival - Dallas' Spanish Culture Event,performances,dance,14/10/2018,18/09/2018,failed,111,3600,26,2018,Q2,NA
3215,Object Premiere at the On the Boards Festival,performances,dance,15/06/2016,27/05/2016,failed,1385,2500,19,2016,Q2,NA
3123,Occupy Asheville Silent Disco,dance,dance,19/02/2012,11/01/2012,failed,0,660,39,2012,Q3,NA
1069,"Ode - a dance theatre, spoken word solo about a gay boy <3",performances,dance,23/12/2017,23/11/2017,successful,1613.97,1351.73,30,2017,Q2,0.19400324
2297,"Of myths, perspectives and transformations",performances,dance,26/01/2015,19/12/2014,successful,6532.21,6020.47,38,2014,Q3,0.085000008
2903,Off the Curb Dance (Canceled),performances,dance,01/02/2015,03/12/2014,canceled,75,50000,60,2014,Q4,NA
328,Off-Leash Area presents Maggie's Brain at the Cowles Center,dance,dance,04/11/2013,09/10/2013,successful,3960,3900,26,2013,Q2,0.015384615
1498,OFF-LINE in the USA,dance,dance,21/01/2014,20/12/2013,successful,550,550,32,2013,Q3,0
1631,"OHM, a new all-hours art & music co op in Central Seattle",spaces,dance,10/09/2014,08/08/2014,failed,3379.82,16000,33,2014,Q3,NA
1723,Old Kent Road's next adventure...,dance,dance,31/12/2016,30/11/2016,successful,5198.8,4945.35,31,2016,Q3,0.051250164
31,Olga Dunn Dance Company's Sudden Move!,spaces,dance,11/11/2014,12/09/2014,failed,352,25000,60,2014,Q4,NA
213,Olivia's Orlando Ballet Summer Intensive,workshops,dance,16/05/2017,17/03/2017,successful,1020,1000,60,2017,Q4,0.02
274,OM grown dancers || support the EVOL//you//TION,performances,dance,01/05/2017,01/04/2017,successful,5475,5000,30,2017,Q2,0.095
