"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"6606","Titus & Two Conversations. Huzzah!","plays","theater",2014-08-15,2014-07-14,"successful",27541,23000,32,"2014","Q3",0.197434782608696
"6607","Send Philia (The Musical) to SF Fringe!","theater","theater",2013-08-25,2013-07-26,"successful",7314,6500,30,"2013","Q2",0.125230769230769
"6608","Athena Project Festival","theater","theater",2012-05-12,2012-04-12,"successful",3545,3000,30,"2012","Q2",0.181666666666667
"6609","Ingo's War at Brighton Fringe","festivals","theater",2017-04-13,2017-02-12,"successful",1504.91,627.05,60,"2017","Q4",1.39998405230843
"6610","Southern Utah University: V-Day 2015","plays","theater",2015-03-01,2015-01-27,"failed",165,1000,33,"2015","Q3",NA
"6611","Blue River Drama","experimental","theater",2015-03-05,2015-02-03,"failed",255,2550,30,"2015","Q2",NA
"6612","THE ORBWEAVER, from Mexico to the Vancouver Fringe Festival","festivals","theater",2016-08-22,2016-07-23,"successful",1552.31,1552.31,30,"2016","Q2",0
"6613","Movie (Canceled)","theater","theater",2013-08-11,2013-07-09,"canceled",220,93800,33,"2013","Q3",NA
"6614","Historial Women","plays","theater",2015-12-26,2015-10-30,"failed",19,2000,57,"2015","Q4",NA
"6615","Lanyard's Re-Launch: A staged reading of ""Lascaux""","theater","theater",2012-04-03,2012-03-09,"successful",2516,1800,25,"2012","Q2",0.397777777777778
"6616","The Sevilla Trinity Road Show","festivals","theater",2014-09-08,2014-08-21,"failed",0,2000,18,"2014","Q2",NA
"6617","Slay Teatro","musical","theater",2017-06-17,2017-04-18,"failed",0,2216.68,60,"2017","Q4",NA
"6618","SANKARA","plays","theater",2016-07-11,2016-06-03,"successful",4376.35,4008.87,38,"2016","Q3",0.0916667290283797
"6619","'Mooring' - Vocal Point Theatre Project","plays","theater",2016-08-17,2016-07-20,"successful",3362.3,2617.6,28,"2016","Q2",0.284497249388753
"6620","""O Best Beloved"" at the San Francisco Fringe","theater","theater",2013-09-17,2013-08-27,"successful",2818,2500,21,"2013","Q2",0.1272
"6621","Tico Tales: Free Summer Theatre","theater","theater",2012-05-14,2012-03-15,"failed",486,15000,60,"2012","Q4",NA
"6622","The Spirit of Youth","musical","theater",2015-02-14,2015-01-19,"failed",66,500,26,"2015","Q2",NA
"6623","Broadway RFD Musicians 2012","theater","theater",2012-07-21,2012-06-04,"failed",53,400,47,"2012","Q4",NA
"6624","The Largest Professional Wrestling Event in Oregon","theater","theater",2013-02-09,2012-12-11,"failed",611,15000,60,"2012","Q4",NA
"6625","Tales- A Found Theater Production","theater","theater",2010-09-03,2010-08-10,"successful",1236,1150,24,"2010","Q2",0.0747826086956522
"6626","The Charleston, a new dance musical","musical","theater",2014-05-22,2014-05-07,"successful",7627.5,7500,15,"2014","Q1",0.017
"6627","BEYOND SIGHT The Musical - A soldier's life changing story.","theater","theater",2013-12-18,2013-11-13,"successful",11963,10000,35,"2013","Q3",0.1963
"6628","Write Now 5","plays","theater",2014-05-17,2014-05-07,"failed",254.29,673.63,10,"2014","Q1",NA
"6629","Storyville the Musical","theater","theater",2012-12-27,2012-11-26,"failed",5671,50000,31,"2012","Q3",NA
"6630","Advancing Adventures in Sound!","theater","theater",2010-11-01,2010-09-01,"failed",2409.51,3500,61,"2010","Q4",NA
"6631","Honor the Fallen! (Canceled)","theater","theater",2015-07-18,2015-06-18,"canceled",0,2015,30,"2015","Q2",NA
"6632","The World Premiere of A Real Boy by Stephen Kaplan","plays","theater",2017-08-11,2017-07-12,"failed",3201,30000,30,"2017","Q2",NA
"6633","BUDS present Terry Pratchett's Mort","theater","theater",2013-03-26,2013-03-05,"successful",530.01,454.29,21,"2013","Q2",0.166677672852143
"6634","Hot Mess Express with Matchstick Theatre Initiative","theater","theater",2017-10-22,2017-10-12,"failed",50,500,10,"2017","Q1",NA
"6635","Rocka Mortis","theater","theater",2012-09-05,2012-08-04,"failed",570,10000,32,"2012","Q3",NA
"6636","All Atheists Are Muslim goes Hollywood","theater","theater",2012-06-12,2012-05-24,"successful",4266.44,4000,19,"2012","Q2",0.0666099999999999
"6637","Hammerton Community High: Class of '75","festivals","theater",2016-07-21,2016-06-26,"successful",868.2,523.8,25,"2016","Q2",0.657502863688431
"6638","Fable: A New Musical","musical","theater",2014-05-23,2014-04-23,"successful",15100,10000,30,"2014","Q2",0.51
"6639","The Orpheus Variations at the Under the Radar Festival","experimental","theater",2015-01-08,2014-12-13,"successful",15222,15000,26,"2014","Q2",0.0148
"6640","Help pay Anam Cara's directors!","theater","theater",2015-03-11,2015-02-09,"successful",1445,1350,30,"2015","Q2",0.0703703703703704
"6641","Dionysus in '69","theater","theater",2010-12-10,2010-11-29,"failed",1761,2000,11,"2010","Q1",NA
"6642","Circus Amok Tour 2012","theater","theater",2012-02-15,2011-12-26,"successful",19100.5,17500,51,"2011","Q4",0.0914571428571429
"6643","Ray of Light","plays","theater",2015-10-14,2015-09-14,"failed",0,60000,30,"2015","Q2",NA
"6644","War and Peace: a dance-theater short","theater","theater",2011-04-18,2011-03-18,"successful",5560,5160,31,"2011","Q3",0.0775193798449612
"6645","Theatre Production of ""Socrates and his Clouds"" by W. Lyons","theater","theater",2013-06-01,2013-05-07,"successful",4672.82,4672.82,25,"2013","Q2",0
"6646","A Christmas Carol in Kamas","theater","theater",2012-12-09,2012-11-22,"failed",155,3000,17,"2012","Q2",NA
"6647","Fauntleroy! A New Musical!","theater","theater",2012-09-22,2012-07-25,"successful",7690,6735,59,"2012","Q4",0.141796585003712
"6648","Definition Theatre Company presents First Kisses (Canceled)","theater","theater",2013-03-01,2013-01-28,"canceled",131,3700,32,"2013","Q3",NA
"6649","""The World's Funniest Hamlet""","theater","theater",2010-12-30,2010-11-30,"failed",0,650,30,"2010","Q2",NA
"6650","Stark Naked 2013-2014 $25,000 Season Match Challenge!","theater","theater",2013-11-06,2013-10-07,"successful",26075,25000,30,"2013","Q2",0.043
"6651","The Girl Who Touched the Stars","plays","theater",2016-04-13,2016-03-23,"successful",1701.64,992.63,21,"2016","Q2",0.714274200860341
"6652","The World's Largest Cake and EDM Party","festivals","theater",2014-08-28,2014-07-29,"failed",5.6,933794.01,30,"2014","Q2",NA
"6653","THE RORSKY PLAYS in Public Access Theatre","theater","theater",2012-06-17,2012-05-08,"successful",1261,1000,40,"2012","Q3",0.261
"6654","Darktales The Play","plays","theater",2015-12-10,2015-11-10,"successful",7738.01,7578.86,30,"2015","Q2",0.0209992004074492
"6655","2m, 2f: A Perfectly Ordinary Evening of Theatre","theater","theater",2011-11-03,2011-10-01,"successful",514,500,33,"2011","Q3",0.028
