"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"51","Great Grandparents of the United States","photography","photography",2010-10-08,2010-09-08,"failed",445,8000,30,"2010","Q2",NA
"52","Beautiful Women Of Toronto","people","photography",2015-06-26,2015-05-27,"failed",1213.1,16174.69,30,"2015","Q2",NA
"53","Getting the Art to the Gallery","photography","photography",2012-05-03,2012-04-03,"failed",20,1200,30,"2012","Q2",NA
"54","Interactions - the book","photobooks","photography",2016-05-12,2016-04-22,"successful",1709.01,1702.2,20,"2016","Q2",0.00400070497003874
"55","Explore Moldova through Photos","photography","photography",2013-02-12,2013-01-16,"failed",36,3000,27,"2013","Q2",NA
"56","Brazil Revisited: Photographing São Paulo","photography","photography",2012-08-31,2012-07-31,"failed",0,7500,31,"2012","Q3",NA
"57","Een integer fotoboek van vrouwen en mannen met borstkanker","photobooks","photography",2014-07-19,2014-06-17,"failed",290.3,12767.96,32,"2014","Q3",NA
"58","MAN ON THE MOON exhibit at Space Center Houston","photography","photography",2012-10-12,2012-09-12,"failed",10896,30000,30,"2012","Q2",NA
"59","Autant de Montréalais","fine art","photography",2017-05-30,2017-03-31,"failed",7.39,7394.81,60,"2017","Q4",NA
"60","Journey to Jacmel: A Photo Project with Heart","fine art","photography",2014-11-01,2014-09-28,"successful",3784,3500,34,"2014","Q3",0.0811428571428571
"61","Island Of Mull","photography","photography",2017-02-27,2017-01-28,"successful",183.52,122.34,30,"2017","Q2",0.500081739414746
"62","The Santa Series","people","photography",2016-10-03,2016-09-03,"failed",0,500,30,"2016","Q2",NA
"63","A Better Tool for Best Prints","photography","photography",2010-03-15,2009-12-22,"failed",0,2000,83,"2009","Q4",NA
"64","Seize the day","photography","photography",2014-12-09,2014-11-09,"failed",201,5000,30,"2014","Q2",NA
"65","Photography Book - Olympic National Park","photography","photography",2012-09-08,2012-08-09,"failed",200,15000,30,"2012","Q2",NA
"66","FotoOps Creative Photographer and Videographer Platform","photography","photography",2017-12-10,2017-10-26,"failed",1074,43000,45,"2017","Q3",NA
"67","WHERE IS THE WORLD","photobooks","photography",2014-12-12,2014-11-19,"failed",2433.43,7854.84,23,"2014","Q2",NA
"68","The Adventure Photo Challenge - from Australia to Estonia","photography","photography",2013-04-19,2013-02-18,"successful",6417.79,1534.99,60,"2013","Q4",3.18099792181057
"69","C Stoddart 2016 Calendar","photography","photography",2015-08-16,2015-07-17,"successful",1591,1550,30,"2015","Q2",0.0264516129032258
"70","Big Scary Lions, and Hopefully A Meerkat Or Two","animals","photography",2014-10-20,2014-09-05,"failed",0,15248.06,45,"2014","Q3",NA
"71","Detroit Portraits","photography","photography",2011-12-31,2011-12-01,"successful",6911,6500,30,"2011","Q2",0.0632307692307692
"72","Degrees: Earth's beautiful landscape and wildlife","nature","photography",2016-06-13,2016-05-14,"successful",3075,3000,30,"2016","Q2",0.025
"73","Life Enlightened: An Exhibit To Elevate Your Spirit","photography","photography",2011-04-04,2011-01-03,"failed",524,2700,91,"2011","Q4",NA
"74","The Drifting Deltiologist does Tucson, AZ","photography","photography",2012-09-22,2012-08-23,"failed",125,600,30,"2012","Q2",NA
"75","Rediscovering Reading. . . (Canceled)","photography","photography",2014-08-14,2014-07-15,"canceled",0,250.35,30,"2014","Q2",NA
"76","""The Dogs of Cape Verde"" : Volunteer Service Calendar","photography","photography",2011-07-15,2011-05-26,"canceled",545,1200,50,"2011","Q4",NA
"77","Project Music! (Canceled)","photography","photography",2014-02-22,2014-01-23,"canceled",0,1500,30,"2014","Q2",NA
"78","Voices of Nepal: Stories of Hope","photography","photography",2012-05-20,2012-05-02,"failed",1012,9000,18,"2012","Q2",NA
"79","Scottish Diaspora's John Muir-Still Documentary Wood Prints","people","photography",2016-06-24,2016-05-25,"canceled",68.52,8222.44,30,"2016","Q2",NA
"80","...Place, or Thing","photography","photography",2013-06-23,2013-05-24,"successful",292,200,30,"2013","Q2",0.46
"81","Southern Exposure: Men of Key West","fine art","photography",2016-07-10,2016-06-06,"failed",3143,18325,34,"2016","Q3",NA
"82","Helping out a poor photographer (Canceled)","photography","photography",2015-05-16,2015-04-16,"canceled",0,782.01,30,"2015","Q2",NA
"83","BlackBook4 Magazine","photobooks","photography",2015-06-13,2015-04-14,"failed",0,20000,60,"2015","Q4",NA
"84","Turn to the Earth: contemplations of beauty","photography","photography",2012-05-26,2012-05-04,"failed",86,200,22,"2012","Q2",NA
"85","""The Naked Pixel"" Fine Art Nudes collection. 3rd addition","photobooks","photography",2015-01-11,2014-12-12,"failed",125,300,30,"2014","Q2",NA
"86","Drag Seeker - Showcasing The Art of Drag","people","photography",2014-10-21,2014-09-24,"successful",6856,6800,27,"2014","Q2",0.00823529411764706
"87","Stories of the Maine Somali","people","photography",2015-02-14,2015-01-15,"failed",394,5400,30,"2015","Q2",NA
"88","Clip Calendar - Nature of the Shetland Islands","nature","photography",2015-11-15,2015-10-26,"successful",1703.06,1524.67,20,"2015","Q2",0.117002367725475
"89","Hummingbirds 2015 Calendar","animals","photography",2014-10-08,2014-09-08,"successful",201,200,30,"2014","Q2",0.005
"90","The Hidden Treasure of New York. A photography art book","photography","photography",2013-03-20,2013-02-13,"failed",1,15000,35,"2013","Q3",NA
"91","""Time, Served"" - a portraiture exhibition.","photography","photography",2017-08-02,2017-07-03,"canceled",93.34,2629.16,30,"2017","Q2",NA
"92","Double Ought 7 Liberty Memorial Project","photography","photography",2012-09-30,2012-09-12,"failed",25,6000,18,"2012","Q2",NA
"93","take it away from me (Photo Book)","photography","photography",2010-08-26,2010-07-16,"failed",150,1400,41,"2010","Q3",NA
"94","Occupied : A photographic portrait of a movement","photography","photography",2011-11-14,2011-10-31,"failed",104.5,5600,14,"2011","Q1",NA
"95","Scenes of Arizona","nature","photography",2017-09-30,2017-08-30,"failed",64,5000,31,"2017","Q3",NA
"96","Flowers in The Desert: The Search for Chile's Disappeared","photography","photography",2012-06-28,2012-05-29,"successful",13037.73,10000,30,"2012","Q2",0.303773
"97","West Canada - A Coffee Table Book","nature","photography",2016-07-04,2016-06-04,"failed",520.21,1152.6,30,"2016","Q2",NA
"98","Route 66 - Photography Book","fine art","photography",2015-11-18,2015-10-19,"failed",58.78,42751.94,30,"2015","Q2",NA
"99","Swap Meets, Churches, & Broken Dreams","photography","photography",2013-06-30,2013-05-31,"successful",650,525,30,"2013","Q2",0.238095238095238
"100","The Crankset Project 2016 Calendar","fine art","photography",2015-10-01,2015-09-08,"failed",85,2500,23,"2015","Q2",NA
"101","30/90 Gallery Show","photography","photography",2016-01-23,2016-01-05,"successful",866,800,18,"2016","Q2",0.0825
"102","Blip Festival Tokyo 2012: A Photographic Documentary","photography","photography",2012-09-13,2012-08-14,"successful",4163,4000,30,"2012","Q2",0.04075
"103","Hot Pants and Helmets: A Modern Roller Derby Story","photography","photography",2012-05-31,2012-05-03,"failed",100,500,28,"2012","Q2",NA
"104","The vanishing springs of Florida","photobooks","photography",2014-08-17,2014-07-18,"failed",0,300,30,"2014","Q2",NA
"105","Penn State: We Are...Forever","places","photography",2015-01-16,2015-01-02,"failed",0,700,14,"2015","Q1",NA
"106","Autism: Hearts of Angels...","people","photography",2015-12-01,2015-11-03,"failed",1415.55,4314.78,28,"2015","Q2",NA
"107","That Golden Pup: 2017 Calendar","animals","photography",2016-10-18,2016-10-02,"successful",6095,3000,16,"2016","Q2",1.03166666666667
"108","Making My Way To Japan <3 (Canceled)","places","photography",2016-04-24,2016-03-25,"canceled",0,8000,30,"2016","Q2",NA
"109","The Wild Image Project Shows (Canceled)","photography","photography",2009-07-15,2009-06-03,"canceled",0,5000,42,"2009","Q3",NA
"110","OIFIII vet seeks help to follow dream! (Canceled)","nature","photography",2014-08-22,2014-07-23,"canceled",5,700,30,"2014","Q2",NA
"111","""Istanbul'um"" - Meine Herzensangelegenheit (Canceled)","photobooks","photography",2015-12-14,2015-11-24,"canceled",0,3250.8,20,"2015","Q2",NA
