,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
544,Sharri's Vegan and Nautral Products,crafts,crafts,16/03/2015,04/02/2015,failed,148,450,40,2015,Q3,NA
5006,Shawshank Tree Pens,woodworking,crafts,24/11/2017,25/10/2017,successful,4553,1000,30,2017,Q2,3.553
1776,Shay's soybean aromatherapy candles.,candles,crafts,13/03/2016,12/02/2016,failed,35,600,30,2016,Q2,NA
9025,She is the last of her kind,crafts,crafts,09/12/2018,09/11/2018,successful,306.6445106,264.9812865,30,2018,Q2,0.157230817
3773,Shea Butter Souffle (Whipped Shea Butter),crafts,crafts,07/04/2017,11/03/2017,failed,11,1000,27,2017,Q2,NA
6470,"SHEA'S CREATURES ""The wood sculpture that WIGGLES""",crafts,crafts,12/07/2013,12/06/2013,failed,706,12500,30,2013,Q2,NA
8718,Shed i Malmˆ,crafts,crafts,30/01/2015,25/12/2014,successful,7438.154286,5407.659,36,2014,Q3,0.375485082
3583,Shed i Malmˆ,crafts,crafts,30/01/2015,25/12/2014,successful,6998.29,6038.21,36,2014,Q3,0.159000763
418,Sheep Banks' Tools for Fiber Arts and Designs,crafts,crafts,26/02/2014,27/01/2014,successful,1060,800,30,2014,Q2,0.325
3464,Sheep2Skein Yarn Shop is Finally Opening. For Real!,knitting,crafts,04/10/2014,04/09/2014,successful,545,500,30,2014,Q2,0.09
7458,Sheepstarter Expansion Project,crafts,crafts,30/04/2014,31/03/2014,successful,4000,3000,30,2014,Q2,0.333333333
7530,Sheerly Natural Spa Products,diy,crafts,12/12/2015,12/11/2015,failed,46,328,30,2015,Q2,NA
2344,Sheffield Silversmithing : Studio 25 A New Beginning,crafts,crafts,08/10/2017,08/09/2017,successful,7411.44,6636.32,30,2017,Q2,0.116799672
9350,Shelbys Sweet Scents,candles,crafts,24/12/2018,24/10/2018,failed,22,500,61,2018,Q4,NA
4695,"Shell Shock Grenade 7"" pillar Candle the perfect man gift!",candles,crafts,22/11/2014,07/11/2014,failed,0,11600,15,2014,Q1,NA
4893,Shellie's Trip to Hungary,crafts,crafts,10/04/2014,11/03/2014,successful,3101,3000,30,2014,Q2,0.033666667
2283,"Shelter from the Elements: Women Potters of Bondakile, Ghana",pottery,crafts,07/07/2017,05/06/2017,successful,3925,3640,32,2017,Q3,0.078296703
3580,Shelter Pets: Plush Toys Based on Real Adopted Pets,crafts,crafts,19/10/2017,19/09/2017,successful,17828,15000,30,2017,Q2,0.188533333
5247,Shelving business,woodworking,crafts,04/05/2015,04/04/2015,failed,46,15000,30,2015,Q2,NA
3002,Sheps dream,woodworking,crafts,09/09/2014,10/08/2014,failed,15,65,30,2014,Q2,NA
6924,SherbetBox - a new monthly stationery subscription box!,stationery,crafts,25/05/2016,25/04/2016,successful,2055.05,366.19,30,2016,Q2,4.611977389
4817,Sherry's Designer Bows,crafts,crafts,20/08/2014,21/07/2014,failed,0,250,30,2014,Q2,NA
8093,Sheryl's Savory Rubs Organic Seasonings for everything,crafts,crafts,09/10/2015,09/09/2015,failed,25,3000,30,2015,Q2,NA
2815,Shhh Baby Sleeping sign with Attitude!,crafts,crafts,28/11/2014,29/10/2014,failed,86,2000,30,2014,Q2,NA
7961,Shiba Inu hard enamel pin,crafts,crafts,28/04/2017,28/03/2017,successful,440.48,306.04,31,2017,Q3,0.439288982
1229,Shibai & Friends: Artist Designed Plush Toys & Merchandise,crafts,crafts,08/01/2015,09/12/2014,failed,2425.02,7573.46,30,2014,Q2,NA
4968,Shibao the Shiba Inu Plush,crafts,crafts,23/06/2014,19/05/2014,failed,738,8000,35,2014,Q3,NA
3135,Shibui North Leather Wallets,crafts,crafts,19/07/2017,14/06/2017,failed,883.45,1948.79,35,2017,Q3,NA
7485,Shining Waters Soap Co,crafts,crafts,02/05/2015,25/03/2015,failed,0,20656.04,38,2015,Q3,NA
8107,ShinsBins Monthly Craft Box Subscription,diy,crafts,05/02/2015,06/01/2015,successful,791,150,30,2015,Q2,4.273333333
2181,Ship's Manor Hand-Dyed Fabrics,crafts,crafts,23/10/2016,23/09/2016,successful,1857,700,30,2016,Q2,1.652857143
6341,Shipwreck Letterpress,letterpress,crafts,01/09/2013,09/08/2013,successful,2611,2000,23,2013,Q2,0.3055
4828,"Shire Suds waste-free, handmade soap",crafts,crafts,20/10/2017,20/09/2017,successful,620,200,30,2017,Q2,2.1
3391,Shirley's Handicrafts Expansion Project,crafts,crafts,21/08/2014,22/07/2014,failed,1010,4200,30,2014,Q2,NA
4322,Shiro Custom Airbrush (Canceled),crafts,crafts,25/08/2014,28/07/2014,canceled,100,12000,28,2014,Q2,NA
867,Shit's Fucked Candles,candles,crafts,20/01/2015,21/12/2014,failed,65,1700,30,2014,Q2,NA
