"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"15403","Help APORTA continue to make handwoven/knit accessories","fashion","fashion",2011-12-30,2011-11-30,"successful",2180,2000,30,"2011","Q2",0.09
"15404","HandCrafted Wedding Wishing Bubbles and Favors","jewelry","fashion",2016-01-17,2015-12-18,"failed",0,352.83,30,"2015","Q2",NA
"15405","Metaphors & Verbs (Canceled)","fashion","fashion",2012-09-08,2012-08-09,"canceled",0,2000,30,"2012","Q2",NA
"15406","Heart & Hide Jewelry","jewelry","fashion",2017-12-07,2017-11-15,"failed",196,2000,22,"2017","Q2",NA
"15407","OrriArt T-Shirts","apparel","fashion",2016-07-13,2016-06-13,"failed",88.2,1336.29,30,"2016","Q2",NA
"15408","DANKYfresh Clothing Co. (Canceled)","fashion","fashion",2015-03-06,2015-02-04,"canceled",178.89,120327.29,30,"2015","Q2",NA
"15409","MODERN ENGLISH // Modern, Unisex Shoes, Handmade in England","footwear","fashion",2016-06-22,2016-05-18,"successful",14884.68,4111.22,35,"2016","Q3",2.62050194346204
"15410","The Kupuna: Hawaiian Koa Wood Watch","jewelry","fashion",2015-04-24,2015-03-10,"successful",12498,10000,45,"2015","Q3",0.2498
"15411","Terra'clume: The World's First Biosphere Necklace","jewelry","fashion",2017-12-16,2017-11-16,"failed",1165.65,4014.88,30,"2017","Q2",NA
"15412","Pattern Store","fashion","fashion",2014-07-24,2014-06-23,"successful",10280,10000,31,"2014","Q3",0.028
"15413","Women's Footwear (Canceled)","footwear","fashion",2015-11-24,2015-10-15,"canceled",5208.66,89907.84,40,"2015","Q3",NA
"15414","IN ONE'S SKIN Watch Collection","fashion","fashion",2017-05-22,2017-04-22,"failed",9497.75,51328.77,30,"2017","Q2",NA
"15415","DARE APPAREL","fashion","fashion",2013-09-13,2013-07-17,"failed",0,10000,58,"2013","Q4",NA
"15416","Fast Life Gear Start Up (Canceled)","apparel","fashion",2016-06-13,2016-05-09,"canceled",115,500,35,"2016","Q3",NA
"15417","Open Minded Company","apparel","fashion",2014-11-21,2014-10-07,"failed",0,2000,45,"2014","Q3",NA
"15418","The Whole Mama and Papa Coat","apparel","fashion",2015-11-12,2015-10-13,"successful",11225,10000,30,"2015","Q2",0.1225
"15419","TEJIDO PROJECT","fashion","fashion",2013-04-09,2013-03-15,"successful",6095,5500,25,"2013","Q2",0.108181818181818
"15420","""Keep Your Pants Up"" T-shirt Line","fashion","fashion",2013-04-30,2013-03-01,"failed",1,25000,60,"2013","Q4",NA
"15421","Forever Six | Tienda de moda online y física a precios bajos","apparel","fashion",2016-12-06,2016-11-21,"failed",0,5279.5,15,"2016","Q1",NA
"15422","My Gift To The Planet Talent Jewelry","jewelry","fashion",2015-07-18,2015-06-18,"failed",1340.03,16408.51,30,"2015","Q2",NA
"15423","SALTURA | modern elevated basics. made in california.","apparel","fashion",2016-07-16,2016-06-16,"successful",30694,30000,30,"2016","Q2",0.0231333333333333
"15424","GIRL POWER - Rose Gold Enamel Pin","accessories","fashion",2017-04-16,2017-03-17,"successful",204.45,191.67,30,"2017","Q2",0.066677101267804
"15425","Haute Shot Golf - Rockin' golf skirts Made in the USA!","fashion","fashion",2013-04-13,2013-03-14,"failed",40,12000,30,"2013","Q2",NA
"15426","Broad Strokes:  A ""SEXY"" heel line for wide/large feet","footwear","fashion",2014-12-09,2014-10-10,"failed",0,50000,60,"2014","Q4",NA
"15427","Shades With A Mission. 'Look Good. Do Good. Feel Good.'","accessories","fashion",2016-03-24,2016-02-23,"successful",13806,10000,30,"2016","Q2",0.3806
