"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"923","TippiTV: Recapping Supernatural S10 eps 1-5 +","web","journalism",2014-10-08,2014-09-26,"successful",600,275,12,"2014","Q1",1.18181818181818
"924","Bloggerzine - the magazine for bloggers","print","journalism",2015-11-26,2015-10-27,"failed",75.26,7525.93,30,"2015","Q2",NA
"925","CO MONTHLY...a local paper for local people","journalism","journalism",2014-02-07,2014-01-08,"failed",0.9,1806.85,30,"2014","Q2",NA
"926","Shelved. A Film Podcast About The Unproduced","audio","journalism",2016-09-08,2016-08-09,"failed",87,1000,30,"2016","Q2",NA
"927","All About Us Youth Magazine","journalism","journalism",2014-10-05,2014-09-03,"failed",8,2e+05,32,"2014","Q3",NA
"928","SOUTHBOUND FORREST - Hiking and Writing the Appalachian Trail in an Unusual Direction","journalism","journalism",2010-07-27,2010-06-24,"successful",3160,3000,33,"2010","Q3",0.0533333333333333
"929","Inside Confucius","journalism","journalism",2012-12-16,2012-11-16,"failed",75,19500,30,"2012","Q2",NA
"930","Valentino Rossi 46 FanPage","web","journalism",2016-03-04,2016-02-03,"failed",0,5484.98,30,"2016","Q2",NA
"931","Church : how and where live the rich cardinals and bishops","journalism","journalism",2015-10-10,2015-09-10,"failed",28.4,11360.02,30,"2015","Q2",NA
"932","Derbyshire Sport Scene","journalism","journalism",2014-10-29,2014-09-30,"failed",0,1596.93,29,"2014","Q2",NA
"933","The One Who Was Supposed to Protect Me","journalism","journalism",2017-03-18,2017-01-21,"canceled",0,25000,56,"2017","Q4",NA
"934","Libraries & Finding Self (Canceled)","web","journalism",2014-09-30,2014-08-13,"canceled",0,3000,48,"2014","Q4",NA
"935","Sport Chats","audio","journalism",2015-10-30,2015-08-31,"failed",0,38753,60,"2015","Q4",NA
"936","Deca","journalism","journalism",2014-07-12,2014-06-12,"successful",32627.44,15000,30,"2014","Q2",1.17516266666667
"937","Steunpunt ouderen (Canceled)","journalism","journalism",2015-12-06,2015-10-07,"canceled",0,1095002.41,60,"2015","Q4",NA
"938","Homeless in the desert. A view from the other perspective","video","journalism",2017-11-20,2017-11-10,"failed",50,3000,10,"2017","Q1",NA
"939","How to (ex)change the world","journalism","journalism",2015-09-08,2015-08-10,"successful",1144.83,1126.8,29,"2015","Q2",0.0160010649627263
"940","Project Performance VB","journalism","journalism",2016-08-13,2016-06-14,"failed",56,10000,60,"2016","Q4",NA
"941","Road Dogs: Every NFL stadium in 16 weeks.","journalism","journalism",2014-05-29,2014-04-29,"failed",75,10000,30,"2014","Q2",NA
"942","Discover Boyne Summer Events Guide","journalism","journalism",2011-04-16,2011-03-16,"failed",0,250,31,"2011","Q3",NA
"943","The Tour: A Year on the Road with Wichita Children's Theatre","video","journalism",2015-06-12,2015-05-13,"failed",0,700,30,"2015","Q2",NA
"944","Audiobook ""Doreen Valiente -Witch"" Read by Philip Heselton","audio","journalism",2016-04-16,2016-03-16,"canceled",661.39,4313.38,31,"2016","Q3",NA
"945","P.S. Kiss the Duchess For Me (Canceled)","print","journalism",2014-09-10,2014-08-11,"canceled",42,1000,30,"2014","Q2",NA
"946","AMRN (Americas Mentor Radio Network) (Canceled)","web","journalism",2014-12-08,2014-10-22,"canceled",0,8000,47,"2014","Q4",NA
"947","Rangers F.C Funeral","journalism","journalism",2014-08-09,2014-07-10,"failed",0,16.69,30,"2014","Q2",NA
"948","Keep us alive covering conflict in the Middle East (!)","journalism","journalism",2014-09-02,2014-08-03,"successful",3555.25,3000,30,"2014","Q2",0.185083333333333
"949","Who Pushed Me Mommy?","print","journalism",2014-08-08,2014-07-09,"failed",25,1500,30,"2014","Q2",NA
