"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"12237","The Deep End - Dive Into Your Imagination","spaces","food",2015-11-29,2015-10-28,"successful",27611,25000,32,"2015","Q3",0.10444
"12238","Cavewoman Bars: Tame Your Savage Craving -- Naturally!","food","food",2012-05-01,2012-03-14,"failed",6468,10000,48,"2012","Q4",NA
"12239","Cheese Vat Community Support Agriculture","food","food",2011-08-21,2011-07-22,"failed",3130,20000,30,"2011","Q2",NA
"12240","Sushi","restaurants","food",2016-02-05,2016-01-06,"failed",0,10000,30,"2016","Q2",NA
"12241","Rhubarb Shortcake","food trucks","food",2014-08-13,2014-07-14,"failed",620,15000,30,"2014","Q2",NA
"12242","Causing A Stir - A Cooking Show","food","food",2016-03-17,2016-02-16,"failed",811,8500,30,"2016","Q2",NA
"12243","Family Owned Local Bakery Works with Troubled Youth","restaurants","food",2015-07-15,2015-06-15,"failed",100,26000,30,"2015","Q2",NA
"12244","UniTan Aquafarms: Fun and Interactive Science for Children","community gardens","food",2014-11-17,2014-10-18,"failed",629,35000,30,"2014","Q2",NA
"12245","Full Circle Creamery Builds Independence Creamery","small batch","food",2015-03-31,2015-02-23,"failed",8120,1e+05,36,"2015","Q3",NA
"12246","Bring Alchemy Pops to the People!","small batch","food",2015-07-23,2015-07-02,"successful",8091,7500,21,"2015","Q2",0.0788
"12247","Gastronomy in Madrid","restaurants","food",2017-04-19,2017-03-03,"failed",1,2700,47,"2017","Q4",NA
"12248","Bacon warrior","bacon","food",2014-12-19,2014-11-14,"successful",23,20,35,"2014","Q3",0.15
"12249","Mythos Brew Co.","food","food",2012-08-02,2012-07-03,"failed",30,30000,30,"2012","Q2",NA
"12250","Aquarium Aquaponics System for Growing Herbs","food","food",2013-06-23,2013-05-24,"failed",0,2500,30,"2013","Q2",NA
"12251","Wooden Shoes BBQ Sauce","food","food",2017-09-23,2017-08-24,"failed",191,2500,30,"2017","Q2",NA
"12252","Sedgwick Meads: Moving the meadery beyond the home kitchen","food","food",2014-09-25,2014-08-26,"successful",4338.04,4077.11,30,"2014","Q2",0.0639987638302621
"12253","CineFood","restaurants","food",2015-04-14,2015-03-15,"failed",0,37553.89,30,"2015","Q2",NA
"12254","Alaska Glacial Iceberg Harvesting","drinks","food",2017-03-25,2017-02-23,"failed",1001,20000,30,"2017","Q2",NA
"12255","Muschweck Ghost Hunt and Historic Dining","events","food",2014-08-10,2014-07-11,"failed",21,500,30,"2014","Q2",NA
"12256","Salem Farms Home Aquaponic System","farms","food",2017-11-03,2017-09-19,"failed",253,180000,45,"2017","Q3",NA
"12257","Hobogrill, tiny, bbq grill made from recycled materials.","food","food",2014-01-24,2013-12-25,"successful",4075,2500,30,"2013","Q2",0.63
"12258","KenzaGo 2nd Attempt","events","food",2015-07-29,2015-07-14,"failed",0,5000,15,"2015","Q1",NA
"12259","Puget Sound Kombucha Co. Home Delivery","drinks","food",2016-09-01,2016-07-14,"successful",4720,4000,49,"2016","Q4",0.18
"12260","The Hangout","drinks","food",2015-05-19,2015-04-19,"failed",1500,175000,30,"2015","Q2",NA
"12261","Travis Lamberte Brew Beer Day - Cock Ale","drinks","food",2014-08-08,2014-07-09,"failed",4,500,30,"2014","Q2",NA
"12262","Wisdom for Wisdoms","cookbooks","food",2015-04-25,2015-04-05,"failed",49.92,2579.03,20,"2015","Q2",NA
"12263","FOOD DELIVERY UBER APP (ANDROID/IPHONE","food","food",2015-08-15,2015-07-16,"failed",0,30000,30,"2015","Q2",NA
"12264","The Brooklyn Kitchen/Meat Hook: Classrooms in the kitchen","food","food",2011-03-15,2011-02-10,"successful",11686,11500,33,"2011","Q3",0.0161739130434783
"12265","GHOST CAFÉ","events","food",2014-09-04,2014-08-05,"successful",2818.88,2809.51,30,"2014","Q2",0.00333510113863268
"12266","Cali-Citrus BBQ Sauce","food","food",2017-06-01,2017-05-02,"failed",140,10000,30,"2017","Q2",NA
"12267","midwest home brew","drinks","food",2014-09-01,2014-07-03,"failed",1,10000,60,"2014","Q4",NA
