,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
17645,Building the School of the Future,art,art,02/06/2010,01/05/2010,successful,1195,1000,32,2010,Q3,0.195
20973,Painting with Purpose 2014,public art,art,17/02/2014,27/01/2014,successful,1195.11,1011,21,2014,Q2,0.182106825
19110,living as an artist,sculpture,art,25/11/2015,26/10/2015,successful,1196,1100,30,2015,Q2,0.087272727
18591,Plastic Robot Plans to Plastic Wrap the Town!,mixed media,art,03/07/2011,03/06/2011,failed,1196,2500,30,2011,Q2,NA
18221,Geek By Numbers,performance art,art,09/01/2017,25/11/2016,failed,1196,5500,45,2016,Q3,NA
30115,eXoH - Make 100,digital art,art,03/02/2018,22/01/2018,successful,1196.1192,45.02719655,12,2018,Q1,25.56437201
2588,Reciprocal Encounter,art,art,18/01/2017,04/12/2016,successful,1196.53,1121.75,45,2016,Q3,0.066663695
18777,"""Listen Up!"" Young Women's Voices in Hip-Hop - A Summer Arts Program in DC",performance art,art,01/09/2010,15/06/2010,successful,1196.55,1000,78,2010,Q4,0.19655
3035,Support Vanessa to Create a New Body of Work in Dublin!!!,art,art,31/08/2013,19/07/2013,successful,1196.66,1000,43,2013,Q3,0.19666
12785,Inktober Days 01 : Artbook,illustration,art,17/11/2017,16/10/2017,failed,1197.19,1415.39,32,2017,Q3,NA
13468,University of Gloucestershire - Advertising Degree Show,art,art,18/05/2014,22/04/2014,successful,1197.37,842.03,26,2014,Q2,0.422003967
24768,The Conference of the Birds Tarot,illustration,art,19/10/2017,19/09/2017,canceled,1198,12400,30,2017,Q2,NA
7161,Nebula Project: Graffiti that Grows & Public Seed Ball Share,public art,art,18/09/2011,22/08/2011,successful,1198.98,1185,27,2011,Q2,0.011797468
957,Brite Winter Festival 2011,digital art,art,20/02/2011,13/01/2011,successful,1199,1000,38,2011,Q3,0.199
7646,Fantasy and Dragon Paintings by Teal Newcomb,painting,art,16/02/2014,27/01/2014,successful,1200,400,20,2014,Q2,2
12495,Help Print The Pixel Tarot Deck,art,art,05/03/2016,04/02/2016,successful,1200,800,30,2016,Q2,0.5
3929,other life forms,art,art,17/03/2011,04/02/2011,successful,1200,1000,41,2011,Q3,0.2
2570,Amanda's Debut Art Show,painting,art,07/09/2012,08/08/2012,successful,1200,1200,30,2012,Q2,0
5380,Biographical all hand made zine/book about Cleoma Falcon!,mixed media,art,18/07/2015,18/06/2015,successful,1200,1200,30,2015,Q2,0
3585,Help SexposÈ by Jess! Pfohl @ American Visionary Art Musuem,mixed media,art,23/07/2014,04/06/2014,canceled,1200,5000,49,2014,Q4,NA
18048,Be part of public art and enjoy a day at the beach!,public art,art,11/01/2013,12/11/2012,failed,1200,7000,60,2012,Q4,NA
2831,(Re)Marking Time: a monotype cycle,art,art,15/12/2010,31/10/2010,failed,1200,7500,45,2010,Q3,NA
6933,Urban Primate Artist Wants to Spin-off!,painting,art,01/03/2013,15/01/2013,failed,1200,10000,45,2013,Q3,NA
14133,"Tsunami on the Square 2015 Performing Arts Festival, Arizona",performance art,art,16/07/2014,16/06/2014,failed,1200,22379,30,2014,Q2,NA
3150,Mix Tape - A Group Art Exhibition,mixed media,art,26/12/2011,27/10/2011,successful,1200.01,1200,60,2011,Q4,8.33E-06
14564,Ecliptic - Art of Sun Gazing,public art,art,01/08/2011,16/06/2011,successful,1200.26,1200,46,2011,Q4,0.000216667
7037,Patterns & Letters - Posters that speak!,illustration,art,27/02/2015,25/01/2015,successful,1200.62,1199.66,33,2015,Q3,0.000800227
21310,Fight or Flight: Soft Enamel Pins,mixed media,art,29/10/2017,29/09/2017,successful,1200.68,483.65,30,2017,Q2,1.482539026
17040,Unique ink paintings inspired by beautiful horizons,mixed media,art,20/07/2015,20/06/2015,successful,1200.83,773.73,30,2015,Q2,0.552001344
24891,100 People Project UK- Art sessions for people with dementia,art,art,18/07/2015,19/05/2015,failed,1200.83,7737.3,60,2015,Q4,NA
29263,The Purrrformers ! √¢¬<U+0099>¬°,art,art,06/09/2018,07/08/2018,successful,1201,900,30,2018,Q2,0.334444444
5995,NASCAR at the Valentine Richmond History Center,public art,art,11/05/2014,12/03/2014,successful,1201,1000,60,2014,Q4,0.201
16037,Smellin' Up the Den,performance art,art,17/07/2013,17/06/2013,successful,1201,1001,30,2013,Q2,0.1998002
14671,Mosaic for Children,public art,art,19/01/2015,20/12/2014,successful,1201,1200,30,2014,Q2,0.000833333
23957,Concave Cut Gems - A New Line by Flawless Facets,art,art,26/04/2012,27/03/2012,failed,1201,6500,30,2012,Q2,NA
12420,Bring The Arty Bunker to West Philadelphia,art,art,10/05/2015,10/04/2015,failed,1201,12000,30,2015,Q2,NA
5649,The Skateboard Collective,mixed media,art,01/08/2016,02/07/2016,successful,1201.72,921.45,30,2016,Q2,0.304161919
20378,(((((((Sci-Fi Religion/Cult)))))),art,art,24/11/2013,25/10/2013,failed,1202,7500,30,2013,Q2,NA
11193,Her Halo: Painting Project,mixed media,art,23/12/2012,14/12/2012,successful,1203,1200,9,2012,Q1,0.0025
10676,Watercolor Postcards,illustration,art,22/06/2016,02/06/2016,successful,1204,900,20,2016,Q2,0.337777778
5631,London Ontario Little Free Library,public art,art,15/02/2015,17/12/2014,successful,1204.24,401.41,60,2014,Q4,2.000024912
20770,The Body of the People,art,art,02/10/2016,30/08/2016,failed,1205,7000,33,2016,Q3,NA
29136,Too Much Information - Vol. 1,mixed media,art,07/11/2018,08/10/2018,successful,1206,500,30,2018,Q2,1.412
31071,Manifesting Prosperity & Success - 78 Affirmation Card Deck,digital art,art,28/01/2017,29/12/2016,failed,1206,5000,30,2016,Q2,NA
1702,Frogs! : Animal Figurines,art,art,04/09/2015,05/08/2015,successful,1207,1000,30,2015,Q2,0.207
